Rank,Release Group,Worldwide,Domestic,%,Foreign,%
166,With Love,"$730,550",-,-,"$730,550",100%
167,Be Gentle with Yourself,"$729,041",-,-,"$729,041",100%
168,Vakkenvullers XL,"$725,831",-,-,"$725,831",100%
169,Tyulpany,"$711,221",-,-,"$711,221",100%
170,Madagascar 2026 Re-release,"$708,665","$708,665",100%,-,-
171,Evolution,"$693,222",-,-,"$693,222",100%
172,The Confession,"$674,598",-,-,"$674,598",100%
173,Dolly,"$670,912","$634,881",94.6%,"$36,031",5.4%
174,Ravioli Oli,"$646,269",-,-,"$646,269",100%
175,Baise-en-ville,"$642,600",-,-,"$642,600",100%
176,Labyrinth 2026 Re-release,"$635,521",-,-,"$635,521",100%
177,Standout: The Ben Kjar Story,"$610,535","$610,535",100%,-,-
178,The Dangers in My Heart,"$609,863",-,-,"$609,863",100%
179,App the Horror,"$594,060",-,-,"$594,060",100%
180,Papa mozhet,"$592,705",-,-,"$592,705",100%
181,Handbok för superhjältar,"$580,805",-,-,"$580,805",100%
182,Stur,"$579,943",-,-,"$579,943",100%
183,Hamlet,"$576,789",-,-,"$576,789",100%
184,Traction Park Massacre,"$570,368",-,-,"$570,368",100%
185,Revenge,"$569,151",-,-,"$569,151",100%
186,Princess Stella,"$517,437",-,-,"$517,437",100%
187,The Metropolitan Opera HD Live: Vincenzo Bellini: I Puritani,"$516,533",-,-,"$516,533",100%
188,Tripping With My Family,"$506,909",-,-,"$506,909",100%
189,My Father's Shadow,"$474,126","$99,678",21%,"$374,448",79%
190,Fukuyama Masaharu raivu firumu@ Nagasaki gekko zutto kono hikari ni tsunagatte itanda,"$469,150",-,-,"$469,150",100%
191,Prakambanam,"$455,794",-,-,"$455,794",100%
192,The Mortuary Assistant,"$454,776","$454,776",100%,-,-
193,It Will Find You,"$444,884",-,-,"$444,884",100%
194,Un weekend criminal,"$444,530",-,-,"$444,530",100%
195,L'Ourse et l'oiseau,"$434,716",-,-,"$434,716",100%
196,Pure Love is the Best!,"$433,336",-,-,"$433,336",100%
197,Be Forever Yamato: Rebel 3199 - Part 5: White Heat Galactic War,"$424,448",-,-,"$424,448",100%
198,Gioia,"$424,366",-,-,"$424,366",100%
199,Hard Boiled 2026 Re-release,"$419,313","$392,742",93.7%,"$26,571",6.3%
200,Enhypen: Walk the Line Summer Edition - in Cinemas,"$412,841",-,-,"$412,841",100%
